Sample no,Year,barangay,sex,age,disease,cases
364,2017,anos,female,20-24,T78,4
365,2017,anos,male,25-29,T78,0
366,2017,anos,female,25-29,T78,2
367,2017,anos,male,30-34,T78,0
368,2017,anos,female,30-34,T78,0
369,2017,anos,male,35-39,T78,0
370,2017,anos,female,35-39,T78,5
371,2017,anos,male,40-44,T78,0
372,2017,anos,female,40-44,T78,1
373,2017,anos,male,45-49,T78,0
374,2017,anos,female,45-49,T78,1
375,2017,anos,male,50-54,T78,0
376,2017,anos,female,50-54,T78,2
377,2017,anos,male,55-59,T78,0
378,2017,anos,female,55-59,T78,0
379,2017,anos,male,60-64,T78,0
380,2017,anos,female,60-64,T78,0
381,2017,anos,male,65-69,T78,0
382,2017,anos,female,65-69,T78,0
383,2017,anos,male,70 Above,T78,0
384,2017,anos,female,70 Above,T78,0
385,2017,anos,male,under 1,A09,3
386,2017,anos,female,under 1,A09,1
387,2017,anos,male,1-4,A09,7
388,2017,anos,female,1-4,A09,5
389,2017,anos,male,5-9,A09,0
390,2017,anos,female,5-9,A09,4
391,2017,anos,male,10-14,A09,0
392,2017,anos,female,10-14,A09,0
393,2017,anos,male,15-19,A09,0
394,2017,anos,female,15-19,A09,1
395,2017,anos,male,20-24,A09,0
396,2017,anos,female,20-24,A09,2
397,2017,anos,male,25-29,A09,0
398,2017,anos,female,25-29,A09,0
399,2017,anos,male,30-34,A09,0
400,2017,anos,female,30-34,A09,0
401,2017,anos,male,35-39,A09,0
402,2017,anos,female,35-39,A09,0
403,2017,anos,male,40-44,A09,0
404,2017,anos,female,40-44,A09,0
405,2017,anos,male,45-49,A09,0
406,2017,anos,female,45-49,A09,0
407,2017,anos,male,50-54,A09,0
408,2017,anos,female,50-54,A09,0
409,2017,anos,male,55-59,A09,0
410,2017,anos,female,55-59,A09,0
411,2017,anos,male,60-64,A09,0
412,2017,anos,female,60-64,A09,0
413,2017,anos,male,65-69,A09,0
414,2017,anos,female,65-69,A09,0
415,2017,anos,male,70 Above,A09,0
416,2017,anos,female,70 Above,A09,0
417,2017,anos,male,under 1,J22,3
418,2017,anos,female,under 1,J22,0
419,2017,anos,male,1-4,J22,4
420,2017,anos,female,1-4,J22,2
421,2017,anos,male,5-9,J22,0
422,2017,anos,female,5-9,J22,0
423,2017,anos,male,10-14,J22,0
424,2017,anos,female,10-14,J22,0
425,2017,anos,male,15-19,J22,1
426,2017,anos,female,15-19,J22,0
427,2017,anos,male,20-24,J22,0
428,2017,anos,female,20-24,J22,0
429,2017,anos,male,25-29,J22,1
430,2017,anos,female,25-29,J22,0
431,2017,anos,male,30-34,J22,1
432,2017,anos,female,30-34,J22,0
433,2017,anos,male,35-39,J22,1
434,2017,anos,female,35-39,J22,0
435,2017,anos,male,40-44,J22,1
436,2017,anos,female,40-44,J22,1
437,2017,anos,male,45-49,J22,0
438,2017,anos,female,45-49,J22,0
439,2017,anos,male,50-54,J22,0
440,2017,anos,female,50-54,J22,0
441,2017,anos,male,55-59,J22,0
442,2017,anos,female,55-59,J22,0
443,2017,anos,male,60-64,J22,2
444,2017,anos,female,60-64,J22,2
445,2017,anos,male,65-69,J22,1
446,2017,anos,female,65-69,J22,2
447,2017,anos,male,70 Above,J22,0
448,2017,anos,female,70 Above,J22,0
449,2017,anos,male,under 1,R10,0
450,2017,anos,female,under 1,R10,0
451,2017,anos,male,1-4,R10,0
452,2017,anos,female,1-4,R10,0
453,2017,anos,male,5-9,R10,1
454,2017,anos,female,5-9,R10,2
455,2017,anos,male,10-14,R10,0
456,2017,anos,female,10-14,R10,0
457,2017,anos,male,15-19,R10,0
458,2017,anos,female,15-19,R10,1
459,2017,anos,male,20-24,R10,0
460,2017,anos,female,20-24,R10,0
461,2017,anos,male,25-29,R10,0
462,2017,anos,female,25-29,R10,1
463,2017,anos,male,30-34,R10,0
464,2017,anos,female,30-34,R10,1
465,2017,anos,male,35-39,R10,1
466,2017,anos,female,35-39,R10,1
467,2017,anos,male,40-44,R10,0
468,2017,anos,female,40-44,R10,0
469,2017,anos,male,45-49,R10,0
470,2017,anos,female,45-49,R10,0
471,2017,anos,male,50-54,R10,0
472,2017,anos,female,50-54,R10,1
473,2017,anos,male,55-59,R10,2
474,2017,anos,female,55-59,R10,2
475,2017,anos,male,60-64,R10,0
476,2017,anos,female,60-64,R10,2
477,2017,anos,male,65-69,R10,0
478,2017,anos,female,65-69,R10,0
479,2017,anos,male,70 Above,R10,0
480,2017,anos,female,70 Above,R10,1
481,2017,anos,male,under 1,W55,0
482,2017,anos,female,under 1,W55,0
483,2017,anos,male,1-4,W55,4
484,2017,anos,female,1-4,W55,4
485,2017,anos,male,5-9,W55,1
486,2017,anos,female,5-9,W55,0
487,2017,anos,male,10-14,W55,0
488,2017,anos,female,10-14,W55,0
489,2017,anos,male,15-19,W55,1
490,2017,anos,female,15-19,W55,0
491,2017,anos,male,20-24,W55,0
492,2017,anos,female,20-24,W55,0
493,2017,anos,male,25-29,W55,1
494,2017,anos,female,25-29,W55,0
495,2017,anos,male,30-34,W55,0
496,2017,anos,female,30-34,W55,0
497,2017,anos,male,35-39,W55,0
498,2017,anos,female,35-39,W55,0
499,2017,anos,male,40-44,W55,0
500,2017,anos,female,40-44,W55,0
501,2017,anos,male,45-49,W55,1
502,2017,anos,female,45-49,W55,2
503,2017,anos,male,50-54,W55,0
504,2017,anos,female,50-54,W55,0
505,2017,anos,male,55-59,W55,0
506,2017,anos,female,55-59,W55,0
507,2017,anos,male,60-64,W55,0
508,2017,anos,female,60-64,W55,0
509,2017,anos,male,65-69,W55,0
510,2017,anos,female,65-69,W55,2
511,2017,anos,male,70 Above,W55,0
512,2017,anos,female,70 Above,W55,0
513,2017,anos,male,under 1,M79,0
514,2017,anos,female,under 1,M79,0
515,2017,anos,male,1-4,M79,0
516,2017,anos,female,1-4,M79,0
517,2017,anos,male,5-9,M79,0
518,2017,anos,female,5-9,M79,0
519,2017,anos,male,10-14,M79,0
520,2017,anos,female,10-14,M79,0
521,2017,anos,male,15-19,M79,0
522,2017,anos,female,15-19,M79,0
523,2017,anos,male,20-24,M79,0
524,2017,anos,female,20-24,M79,0
525,2017,anos,male,25-29,M79,1
526,2017,anos,female,25-29,M79,0
527,2017,anos,male,30-34,M79,1
528,2017,anos,female,30-34,M79,2
529,2017,anos,male,35-39,M79,1
530,2017,anos,female,35-39,M79,0
531,2017,anos,male,40-44,M79,0
532,2017,anos,female,40-44,M79,0
533,2017,anos,male,45-49,M79,1
534,2017,anos,female,45-49,M79,0
535,2017,anos,male,50-54,M79,0
536,2017,anos,female,50-54,M79,2
537,2017,anos,male,55-59,M79,0
538,2017,anos,female,55-59,M79,1
539,2017,anos,male,60-64,M79,0
540,2017,anos,female,60-64,M79,0
541,2017,anos,male,65-69,M79,1
542,2017,anos,female,65-69,M79,2
543,2017,anos,male,70 Above,M79,0
544,2017,anos,female,70 Above,M79,3
545,2017,anos,male,under 1,H81,0
546,2017,anos,female,under 1,H81,0
547,2017,anos,male,1-4,H81,0
